epoch ,train_loss ,valid_loss ,error_rate ,time
0,1.099261,0.25142,0.07,00:02
epoch ,train_loss ,valid_loss ,error_rate ,time
0,0.6623,0.232498,0.1,00:02
1,0.601885,0.161292,0.055,00:02
2,0.522249,0.11502,0.055,00:02
3,0.451519,0.139375,0.045,00:02
4,0.394094,0.130166,0.05,00:02
5,0.360789,0.122959,0.04,00:02
6,0.341757,0.129705,0.04,00:02
7,0.318982,0.142704,0.04,00:02
8,0.293685,0.127205,0.04,00:02
9,0.261311,0.131056,0.04,00:02
